id,kanji,kana,meaning,reading,japanese data id
1,高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school,On,6173
2,生年月日,せいねんがっぴ,date of birth,Mixed,1
2,生年月日,せいねんがっぴ,date of birth,Mixed,2
3,生年月日,せいねんがっぴ,birth date,Mixed,1
3,生年月日,せいねんがっぴ,birth date,Mixed,2
210,冷凍,れいとう,"freezing, cold storage, refrigeration",Mixed,3
4,一人一人,ひとりひとり,"one by one, each",Kun,170
24,余所見,よそみ,"looking away, looking aside",Mixed,4
5,生真面目,きまじめ,"serious, sincerity",Kun,184
25,土曜日,どようび,Saturday,Mixed,5
6,一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",On,2747
26,定休日,ていきゅうび,regular holiday,Mixed,6
7,交通機関,こうつうきかん,transportation facilities,On,2748
27,意地悪,いじわる,"malicious, mean, unkind",Mixed,7
8,人文科学,じんぶんかがく,"social sciences, humanities",On,2749
28,日曜日,にちようび,Sunday,Mixed,8
9,四捨五入,ししゃごにゅう,rounding up (fractions),On,2750
29,時間割,じかんわり,"timetable, schedule",Mixed,9
10,天気予報,てんきよほう,weather forecast,On,2751
30,月曜日,げつようび,Monday,Mixed,10
11,形容動詞,けいようどうし,"adjectival noun, quasi-adjective",On,2752
31,木曜日,もくようび,Thursday,Mixed,11
12,御無沙汰,ごぶさた,not writing or contacting for a while,On,2753
32,水曜日,すいようび,Wednesday,Mixed,12
13,無茶苦茶,むちゃくちゃ,"confused, jumbled, mixed up, unreasonable",On,2754
33,火曜日,かようび,Tuesday,Mixed,13
14,産婦人科,さんふじんか,maternity and gynecology department,On,2755
34,無駄遣い,むだづかい,"waste money on, squander money on",Mixed,14
15,百科事典,ひゃっかじてん,encyclopedia,On,2756
35,目論見,もくろみ,"a plan, a scheme, intention",Mixed,15
16,社会科学,しゃかいかがく,social science,On,2757
36,箇条書,かじょうがき,"itemized form, itemization",Mixed,16
17,総理大臣,そうりだいじん,Prime Minister,On,2758
37,誕生日,たんじょうび,birthday,Mixed,17
18,自然科学,しぜんかがく,natural science,On,2759
38,金曜日,きんようび,Friday,Mixed,18
19,高等学校,こうとうがっこう,senior high school,On,2760
39,面倒臭い,めんどうくさい,"bother to do, tiresome",Mixed,19
20,一昨昨日,さきおととい,"two days before yesterday, three days ago",Irregular,6717
40,風呂敷,ふろしき,"wrapping cloth, cloth wrapper",Mixed,20
21,伯母さん; 叔母さん,おばさん,aunt,Irregular,6725
41,素っ気無い,そっけない,"cold, short, curt, blunt",Mixed,21
22,伯父; 叔父さん,おじさん,"uncle, middle-aged man",Irregular,6727
4354,再び,ふたたび,"again, once more, a second time",Mixed,22
23,明明後日,しあさって,two days after tomorrow,Irregular,6754
4355,進み,すすみ,progress,Mixed,23
42,仮名遣い,かなづかい,"kana orthography, syllabary spelling",Mixed,24
211,両側,りょうがわ,both sides,Mixed,25
212,両替,りょうがえ,"change, money exchange",Mixed,26
213,今年,ことし,this year,Mixed,27
214,仕上,しあげ,"end, finishing touches",Mixed,28
215,仕上がり,しあがり,"finish, end, completion",Mixed,29
216,仕上がる,しあがる,to be finished,Mixed,30
217,仕上げる,しあげる,"to finish up, to complete",Mixed,31
218,仕事,しごと,"work, job, occupation, employment",Mixed,32
219,仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",Mixed,33
220,仕切る,しきる,"to partition, to divide, to mark off",Mixed,34
221,仕掛,しかけ,"device, trick, mechanism",Mixed,35
222,仕掛ける,しかける,"to lay, to set, to wage",Mixed,36
223,仕方,しかた,way (of doing something),Mixed,37
224,仕方がない,しかたがない,"it can't be helped, it's inevitable",Mixed,38
225,仕立てる,したてる,"to tailor, to make, to prepare",Mixed,39
226,仕組,しくみ,"structure, mechanism",Mixed,40
227,仮名,かな,kana,Mixed,41
228,余程,よほど,"very, much, to a large extent, quite",Mixed,42
43,意気込む,いきごむ,to be enthusiastic about,Mixed,101
229,具合,ぐあい,"condition, state, health",Mixed,43
44,御世辞,おせじ,"flattery, compliment",Mixed,105
230,勘違い,かんちがい,"misunderstanding, wrong guess",Mixed,44
45,昼御飯,ひるごはん,"lunch, midday meal",Mixed,106
231,区切り,くぎり,"an end, a stop, punctuation",Mixed,45
46,朝御飯,あさごはん,breakfast,Mixed,107
232,区切る,くぎる,"to punctuate, to cut off, to mark off",Mixed,46
47,歯医者,はいしゃ,dentist,Mixed,108
233,半端,はんぱ,"fragment, fraction, incompleteness",Mixed,47
48,生意気,なまいき,"impertinent, impudent",Mixed,109
234,台所,だいどころ,kitchen,Mixed,48
49,生意気な,なまいきな,"impertinent, saucy, cheeky, impudent, audacious, cocky, pert, brash",Mixed,110
235,台無し,だいなし,"mess, spoiled, (come to) nothing",Mixed,49
50,～時間目,～じかんめ,"~th hour, ~th period",Mixed,111
236,味方,みかた,"ally, supporter",Mixed,50
51,片仮名,かたかな,katakana,Mixed,112
237,土手,どて,"embankment, bank",Mixed,51
52,待合室,まちあいしつ,waiting room,Mixed,163
238,地主,じぬし,landlord,Mixed,52
53,三日月,みかづき,crescent moon,Kun,171
239,地元,じもと,local,Mixed,53
54,人差指,ひとさしゆび,index finger,Kun,172
240,大好き,だいすき,"very like-able, like very much",Mixed,54
55,出入口,でいりぐち,exit and entrance,Kun,173
241,威張る,いばる,"to be proud, to swagger",Mixed,55
56,出来上がり,できあがり,"be finished, ready",Kun,174
242,字引,じびき,dictionary,Mixed,56
57,出来上がる,できあがる,"to be finished, to be ready",Kun,175
243,宙返り,ちゅうがえり,"somersault, looping-the-loop",Mixed,57
58,出来事,できごと,"incident happening, event",Kun,176
244,客間,きゃくま,"parlor, guest room",Mixed,58
59,寝間着,ねまき,"sleep-wear, pajamas",Kun,177
245,工場,こうば,"factory, plant",Mixed,59
245,工場,こうば,"factory, plant",Mixed,4075
2203,工場,こうじょう,factory,On,59
2203,工場,こうじょう,factory,On,4075
60,小切手,こぎって,"cheque, check",Kun,178
246,度忘れ,どわすれ,"lapse of memory, forget for a moment",Mixed,60
61,平仮名,ひらがな,hiragana,Kun,179
247,座敷,ざしき,tatami room,Mixed,61
62,瀬戸物,せともの,"earthenware, crockery, china",Kun,180
248,役場,やくば,town hall,Mixed,62
63,真面目,まじめ,"diligent, serious",Kun,181
249,役目,やくめ,"duty, business",Mixed,63
64,言葉遣い,ことばづかい,"speech, expression, wording",Kun,182
250,役者,やくしゃ,actor,Mixed,64
65,出入り口,でいりぐち,exit and entrance,Kun,183
251,怒鳴る,どなる,"to shout, to yell",Mixed,65
66,朝寝坊,あさねぼう,"oversleeping, late riser",Kun,416
252,支払,しはらい,payment,Mixed,66
67,振り仮名,ふりがな,pronunciation key,Kun,614
253,支払う,しはらう,to pay,Mixed,67
68,送り仮名,おくりがな,part of word written in kana,Kun,615
254,曜日,ようび,day of the week,Mixed,68
69,八百屋,やおや,greengrocer,Kun,629
255,書物,しょもつ,books,Mixed,69
70,引っ繰り返す,ひっくりかえす,"to turn over, to overturn, to knock over",Kun,702
256,最中,さなか,"in the middle of, midst",Mixed,70
256,最中,さなか,"in the middle of, midst",Mixed,4579
2706,最中,さいちゅう,in the middle of,On,70
2706,最中,さいちゅう,in the middle of,On,4579
71,引っ繰り返る,ひっくりかえる,"to be overturned, to be upset, to topple over, to be reversed",Kun,703
257,本場,ほんば,"home, best place, genuine",Mixed,71
72,堅; 硬; 固い,かたい,"solid, hard, firm",Kun,844
258,本棚,ほんだな,bookshelf,Mixed,72
73,ご苦労様,ごくろうさま,Thank you for your hard work,Kun,2668
259,本物,ほんもの,genuine article,Mixed,73
74,"(花を〜) 生ける, 活ける",(はなを～) いける,to arrange (flowers),Kun,2676
260,本音,ほんね,"(one's) real intention, motive",Mixed,74
75,一昨年,いっさくねん,year before last,On,2761
261,欲張り,よくばり,greedy,Mixed,75
76,一昨日,いっさくじつ,day before yesterday,On,2762
76,一昨日,いっさくじつ,day before yesterday,On,6716
203,一昨日,おととい,the day before yesterday,Irregular,2762
203,一昨日,おととい,the day before yesterday,Irregular,6716
262,欲深い,よくふかい,greedy,Mixed,76
77,一部分,いちぶぶん,"a part, a portion",On,2763
263,残高,ざんだか,"(bank) balance, remainder",Mixed,77
78,万年筆,まんねんひつ,fountain pen,On,2764
264,毎朝,まいあさ,every morning,Mixed,78
79,不動産,ふどうさん,real estate,On,2765
4356,洒落る,しゃれる,"to joke, to play on words; stylish",Mixed,79
80,不可欠,ふかけつ,"indispensable, essential",On,2766
265,派手,はで,"showy, loud, flashy, gaudy",Mixed,80
265,派手,はで,"showy, loud, flashy, gaudy",Mixed,81
266,派手,はで,"showy, flashy, gaudy",Mixed,80
266,派手,はで,"showy, flashy, gaudy",Mixed,81
81,不思議,ふしぎ,"mystery, curiosity",On,2767
82,不景気,ふけいき,"business recession, hard times, depression",On,2768
267,無闇に,むやみに,"unreasonably, absurdly, at random",Mixed,82
83,不自由,ふじゆう,"discomfort, disability, inconvenience",On,2769
268,王様,おうさま,king,Mixed,83
84,不規則,ふきそく,"irregularity, unsteadiness",On,2770
269,現場,げんば,"actual spot, scene, field",Mixed,84
85,中学校,ちゅうがっこう,junior high school pupil,On,2771
270,番組,ばんぐみ,broadcast program,Mixed,85
86,主人公,しゅじんこう,protagonist,On,2772
271,相場,そうば,"market price, speculation, estimation",Mixed,86
87,乾電池,かんでんち,"dry cell, battery",On,2773
272,素早い,すばやい,"fast, quick",Mixed,87
88,事務所,じむしょ,office,On,2774
273,素晴らしい,すばらしい,wonderful; terrific,Mixed,88
89,五十音,ごじゅうおん,the Japanese syllabary,On,2775
274,素直,すなお,"obedient, meek, docile",Mixed,89
90,交差点,こうさてん,intersection,On,2776
275,縁側,えんがわ,"veranda, porch, balcony, open corridor",Mixed,90
91,他動詞,たどうし,transitive verb (direct object),On,2777
276,職場,しょくば,workplace,Mixed,91
92,代名詞,だいめいし,pronoun,On,2778
277,茶色,ちゃいろ,brown,Mixed,92
93,会議室,かいぎしつ,conference room,On,2779
278,茶色い,ちゃいろい,brown,Mixed,93
94,使用人,しようにん,"employee, servant",On,2780
279,融通,ゆうずう,"adaptability, versatility, finance",Mixed,94
95,停留所,ていりゅうじょ,bus or tram stop,On,2781
280,計画,けいかくする,"plan, project, schedule",Mixed,95
96,先天的,せんてんてき,"inherent, congenital, hereditary",On,2782
281,試合,しあい,"match, game, competition",Mixed,96
97,光熱費,こうねつひ,cost of fuel and light,On,2783
282,途絶える,とだえる,"to stop, to cease, to come to an end",Mixed,97
98,公務員,こうむいん,"government worker, public servant",On,2784
283,雑木,ぞうき,"various kinds of small trees, assorted trees",Mixed,98
