id,Original,reading,component_count,kanji_count,total_grade,average_grade,rounded_grade,total_strokes,JLPT_Rank
1,生年月日,Mixed,7,4,4,1,1,19,2
2,生年月日,Mixed,7,4,4,1,1,19,3
3,冷凍,Mixed,15,2,13.5,6.75,7,17,2
4,余所見,Mixed,7,3,9,3,3,22,1
5,土曜日,Mixed,9,3,4,1.333333333,1,25,5
6,定休日,Mixed,9,3,5,1.666666667,2,18,2
7,意地悪,Mixed,15,3,8,2.666666667,3,30,3
8,日曜日,Mixed,9,3,4,1.333333333,1,26,5
9,時間割,Mixed,15,3,10,3.333333333,3,34,2
10,月曜日,Mixed,9,3,4,1.333333333,1,26,5
11,木曜日,Mixed,9,3,4,1.333333333,1,26,5
12,水曜日,Mixed,9,3,4,1.333333333,1,26,5
13,火曜日,Mixed,9,3,4,1.333333333,1,26,5
14,無駄遣い,Mixed,14,3,23,7.666666667,8,39,1
15,目論見,Mixed,15,3,8,2.666666667,3,27,1
16,箇条書,Mixed,15,3,16.5,5.5,6,31,1
17,誕生日,Mixed,10,3,8,2.666666667,3,24,5
18,金曜日,Mixed,11,3,4,1.333333333,1,30,5
19,面倒臭い,Mixed,10,3,22,7.333333333,7,28,2
20,風呂敷,Mixed,22,3,21,7,7,31,2
21,素っ気無い,Mixed,12,3,10,3.333333333,3,28,1
22,再び,Mixed,4,1,5,5,5,6,3
23,進み,Mixed,3,1,3,3,3,11,1
24,仮名遣い,Mixed,11,3,15.5,5.166666667,5,25,2
25,両側,Mixed,9,2,7,3.5,4,17,2
26,両替,Mixed,9,2,12.5,6.25,6,18,3
27,今年,Mixed,7,2,3,1.5,2,10,5
28,仕上,Mixed,4,2,4,2,2,8,1
29,仕上がり,Mixed,4,2,4,2,2,8,1
30,仕上がる,Mixed,4,2,4,2,2,8,2
31,仕上げる,Mixed,4,2,4,2,2,8,1
32,仕事,Mixed,5,2,6,3,3,13,5
33,仕入れる,Mixed,3,2,4,2,2,7,1
34,仕切る,Mixed,5,2,5,2.5,3,9,1
35,仕掛,Mixed,8,2,12.5,6.25,6,16,1
36,仕掛ける,Mixed,8,2,12.5,6.25,6,16,1
37,仕方,Mixed,4,2,5,2.5,3,9,4
38,仕方がない,Mixed,4,2,5,2.5,3,9,2
39,仕立てる,Mixed,4,2,4,2,2,10,1
40,仕組,Mixed,6,2,5,2.5,3,16,1
41,仮名,Mixed,6,2,6,3,3,12,2
42,余程,Mixed,9,2,10,5,5,19,1
43,具合,Mixed,7,2,5,2.5,3,14,4
44,勘違い,Mixed,18,2,19,9.5,10,24,2
45,区切り,Mixed,7,2,5,2.5,3,8,1
46,区切る,Mixed,7,2,5,2.5,3,8,2
47,半端,Mixed,13,2,11.5,5.75,6,19,1
48,台所,Mixed,4,2,5,2.5,3,13,5
49,台無し,Mixed,6,2,6,3,3,17,1
50,味方,Mixed,5,2,5,2.5,3,12,3
51,土手,Mixed,2,2,2,1,1,7,1
52,地主,Mixed,7,2,5,2.5,3,11,1
53,地元,Mixed,6,2,4,2,2,10,1
54,大好き,Mixed,3,2,5,2.5,3,9,5
55,威張る,Mixed,15,2,14.5,7.25,7,20,2
56,字引,Mixed,5,2,3,1.5,2,10,5
57,宙返り,Mixed,10,2,9,4.5,5,15,1
58,客間,Mixed,9,2,5,2.5,3,21,2
59,工場,Mixed,8,2,4,2,2,15,3
60,度忘れ,Mixed,11,2,9,4.5,5,16,1
61,座敷,Mixed,18,2,15.5,7.75,8,25,2
62,役場,Mixed,13,2,5,2.5,3,19,1
63,役目,Mixed,7,2,4,2,2,12,2
64,役者,Mixed,9,2,6,3,3,15,2
65,怒鳴る,Mixed,7,2,11.5,5.75,6,23,2
66,支払,Mixed,4,2,14.5,7.25,7,9,3
67,支払う,Mixed,4,2,14.5,7.25,7,9,3
68,曜日,Mixed,8,2,3,1.5,2,22,3
69,書物,Mixed,7,2,5,2.5,3,18,3
70,最中,Mixed,6,2,5,2.5,3,16,1
71,本場,Mixed,9,2,3,1.5,2,17,1
72,本棚,Mixed,6,2,10.5,5.25,5,17,5
73,本物,Mixed,5,2,4,2,2,13,3
74,本音,Mixed,6,2,2,1,1,14,1
75,欲張り,Mixed,9,2,11,5.5,6,22,2
76,欲深い,Mixed,16,2,9,4.5,5,22,1
77,残高,Mixed,19,2,6,3,3,20,1
78,毎朝,Mixed,9,2,4,2,2,18,5
